epoch,acc,loss,mean_absolute_error,val_acc,val_loss,val_mean_absolute_error
0,0.266826923077,0.193056013722,0.341262631118,0.284375,0.179894243181,0.347167930007
1,0.311814860254,0.163460026669,0.30263080692,0.192429022388,0.171700160492,0.310181052715
2,0.344701583453,0.15827804675,0.297209733514,0.419558356989,0.15768010402,0.305880976964
3,0.51278928209,0.135508268019,0.262593644037,0.416403785677,0.153245220237,0.256140208677
4,0.590742996382,0.11700522141,0.224032129534,0.435331229814,0.126864849299,0.21977896288
5,0.600487211227,0.106662332113,0.206879384625,0.555205048823,0.121811222884,0.196392999745
6,0.668696711836,0.0983350029925,0.194971070783,0.760252368375,0.0868895525342,0.17367103536
7,0.75395858767,0.0839439649838,0.174156666201,0.753943216725,0.074615932578,0.135165748536
8,0.778319123456,0.0729345973404,0.140701376963,0.719242900328,0.0785620471092,0.137626987385
9,0.771010962532,0.0686090962369,0.133556784479,0.791798104623,0.0630358979576,0.10281594201
10,0.791717418074,0.0639257320769,0.120436498267,0.763406940815,0.0665928177206,0.108639594485
11,0.769792935735,0.06628022401,0.122596010575,0.75625,0.0635843295604,0.0984013549984
12,0.781973203556,0.0635889712335,0.121918032316,0.776025239037,0.0644718543729,0.0950178328185
13,0.79049939135,0.0613754425747,0.116745489088,0.779179809785,0.0628190578346,0.0932259385236
14,0.794153471812,0.0579003750479,0.107075051689,0.757097790482,0.0673109518617,0.0986881213092
15,0.773447016125,0.0682311077646,0.11636643079,0.697160880648,0.0916451402831,0.124210544941
16,0.775883069791,0.0619407888007,0.112464258436,0.760252368375,0.0640592194201,0.0961344109302
17,0.800243605722,0.0576690691915,0.105553685775,0.78233438561,0.0667752121995,0.0961614524716
18,0.799025578998,0.0605345300867,0.115283178063,0.772870663965,0.067574634725,0.10267584322
19,0.818514007599,0.0548912623713,0.0974735560919,0.817034698999,0.0553926877936,0.0873950676352
20,0.831912302434,0.0544806292346,0.100423345966,0.798107256273,0.0587936133052,0.0949139636868
21,0.818514007453,0.0565150959347,0.101406958517,0.826498423841,0.0514741236761,0.0783318696479
22,0.845310597051,0.0488182924434,0.0905280196257,0.825,0.052318510972,0.076950295642
23,0.852618758121,0.0474004380577,0.0884211787026,0.864353313055,0.0462262554312,0.0679685875115
24,0.851400730961,0.0504942642895,0.0924081328381,0.82965299929,0.051347956837,0.0776867696822
