epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.864806425041,0.537280169507,1.0,0.800597299169,0.695039375585,1.0
1,0.942913791321,0.320872745939,1.0,0.750508591963,0.915765906982,1.0
2,0.951951797308,0.276767095124,1.0,0.718304982009,1.06895355985,1.0
3,0.958183129043,0.246662568424,1.0,0.751417564746,0.929578770891,1.0
4,0.962637758781,0.22385072941,1.0,0.761632688406,1.03877923842,1.0
5,0.963332990003,0.215776556407,1.0,0.768298489345,0.708644152023,1.0
6,0.96608816562,0.201397964782,1.0,0.754793749699,0.924128900708,1.0
7,0.966422906575,0.197474859106,1.0,0.742847249285,1.06742730315,1.0
8,0.967427129468,0.188911260753,1.0,0.774704583797,0.673519954895,1.0
9,0.968354104439,0.181705031525,1.0,0.782062935519,0.639989331646,1.0
10,0.970208054383,0.175053756422,1.0,0.759944595868,0.695868487436,1.0
11,0.971881759193,0.166737390194,1.0,0.783188330486,0.68082169595,1.0
12,0.971083530739,0.167955785601,1.0,0.784746569679,0.638595776889,1.0
13,0.971881759193,0.163404074743,1.0,0.747911526608,0.805663985432,1.0
14,0.974405191054,0.15330660213,1.0,0.777518071256,0.696317295912,1.0
15,0.973349469558,0.156187822665,1.0,0.797558758536,0.622085254422,1.0
16,0.97553816047,0.146338568292,1.0,0.79193178372,0.834786460768,1.0
17,0.974405191054,0.151716100389,1.0,0.786434662137,0.739827249588,1.0
18,0.975898650736,0.144060082646,1.0,0.766913387799,0.709975437724,1.0
19,0.975254918117,0.148328833432,1.0,0.789378002867,0.711019864176,1.0
20,0.976645380569,0.140673612323,1.0,0.786997359578,0.675148185265,1.0
21,0.976722628489,0.139858880972,1.0,0.793013894227,0.668453946426,1.0
22,0.976748377794,0.139010382689,1.0,0.750811582839,1.02208950073,1.0
23,0.977211865273,0.136024432397,1.0,0.785265982701,0.68434018522,1.0
24,0.978550829121,0.130833162303,1.0,0.716919880463,3.51869424313,1.0
25,0.978396333299,0.132370514973,1.0,0.763710340617,1.26243382229,1.0
26,0.978653826347,0.132678166051,1.0,0.827771285078,0.52999014927,1.0
27,0.97875682356,0.128458357958,1.0,0.790633251062,0.627516144084,1.0
28,0.979349057575,0.125419770723,1.0,0.801021512363,0.689126797247,1.0
29,0.979220311052,0.125715133749,1.0,0.84015062975,0.527837076135,1.0
30,0.979529302697,0.124912418823,1.0,0.843570099088,0.473464396541,1.0
31,0.980250283242,0.123813986879,1.0,0.811712764545,0.759881259244,1.0
32,0.980353280461,0.12077553019,1.0,0.39501363458,1.82974797201,1.0
33,0.981280255433,0.119413786852,1.0,0.80760074442,0.777243556597,1.0
34,0.980765269338,0.119780702399,1.0,0.8214950439,0.591186753435,1.0
35,0.981254506128,0.119611495893,1.0,0.801367787744,0.724102881442,1.0
36,0.981820990833,0.117276032378,1.0,0.720296065423,3.64830037022,1.0
37,0.980662272113,0.120346129938,1.0,0.785265982706,0.867466020031,1.0
38,0.982284478313,0.119615881186,1.0,0.815565078092,0.504155956183,1.0
39,0.982438974142,0.115753946624,1.0,0.816517335339,0.658793990694,1.0
