epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.765333969819,0.597116589286,1.0,0.708700935829,0.922738518034,1.0
1,0.935345284022,0.22788928464,1.0,0.77835922934,0.928550407376,1.0
2,0.954744272502,0.176170886315,1.0,0.774596742274,0.951287360752,1.0
3,0.960198629598,0.156098091664,1.0,0.781948728936,0.946893972973,1.0
4,0.965009784378,0.142792071859,1.0,0.808156401065,0.733808186439,1.0
0,0.703227965404,0.741461533237,1.0,0.676679362881,1.10611801873,1.0
1,0.897646513532,0.322882800484,1.0,0.738951651275,0.889441250583,1.0
2,0.931300854889,0.239506499044,1.0,0.776046400869,0.862296201778,1.0
3,0.942785044804,0.209672829069,1.0,0.767173094336,0.817585704084,1.0
4,0.949479864038,0.187685446119,1.0,0.765614855141,0.931551104925,1.0
5,0.956071686064,0.165437448967,1.0,0.766913387841,0.888757255964,1.0
6,0.95965083944,0.157011994878,1.0,0.78106739385,0.80688343071,1.0
7,0.962509012257,0.143960271667,1.0,0.772713500378,0.871492517695,1.0
8,0.964285714286,0.140015401727,1.0,0.77782106221,0.821879661068,1.0
9,0.967736121137,0.127576256782,1.0,0.798727437959,0.774610851784,1.0
10,0.968302605824,0.120486523081,1.0,0.781327100351,0.859304746508,1.0
11,0.969847564116,0.116610563871,1.0,0.801973769609,0.71282365892,1.0
12,0.970620043271,0.111085755408,1.0,0.794312426885,0.813202208115,1.0
13,0.972087753631,0.108347811215,1.0,0.77721508022,0.865818385161,1.0
14,0.97267998764,0.101178849518,1.0,0.813357572537,0.687278243836,1.0
15,0.973169224431,0.0991961879496,1.0,0.80236332936,0.79669340428,1.0
16,0.974147698012,0.0983335559434,1.0,0.805436523323,0.893769483997,1.0
17,0.975847152121,0.0896515350204,1.0,0.799679695239,0.829297778616,1.0
18,0.977726851375,0.0853590841034,1.0,0.799722979715,0.701240941487,1.0
19,0.977443609023,0.0883817068815,1.0,0.796736354596,0.704445951458,1.0
20,0.978499330512,0.0847951119835,1.0,0.801497640963,0.625887779719,1.0
21,0.979658049233,0.0800683973995,1.0,0.812275462025,0.710353290179,1.0
22,0.97798434441,0.0866323872121,1.0,0.809332121297,0.758728143313,1.0
23,0.979503553404,0.0809402649221,1.0,0.796693070133,0.829952967279,1.0
24,0.982129982484,0.0724791915555,1.0,0.80764402888,0.673596302986,1.0
25,0.981511999176,0.0721011843127,1.0,0.807903735456,0.626358717325,1.0
26,0.98259346997,0.0703972716938,1.0,0.817989005726,0.611718152035,1.0
27,0.981846740132,0.0723532833952,1.0,0.804008137394,0.676898598681,1.0
28,0.981846740138,0.0705547583954,1.0,0.812102324296,0.66983034427,1.0
29,0.982902461634,0.0685717270875,1.0,0.796216941528,0.751488509944,1.0
30,0.983237202596,0.0655578807528,1.0,0.800199108313,0.868548864555,1.0
31,0.983082706767,0.0674850508085,1.0,0.801497640965,0.748914212661,1.0
32,0.984344422694,0.0641450026534,1.0,0.81184261778,0.705989984203,1.0
33,0.982902461627,0.066453204027,1.0,0.806778340444,0.709276997761,1.0
34,0.984627665053,0.0610252680442,1.0,0.812838159508,0.710965735612,1.0
35,0.982284478319,0.0715242355414,1.0,0.791715361574,0.871473488697,1.0
36,0.984782160882,0.0603156795174,1.0,0.80210362287,0.841799615485,1.0
37,0.985245648367,0.0591259933922,1.0,0.801454356587,0.813993522765,1.0
38,0.98493665671,0.0587021961903,1.0,0.803402155497,0.816380616463,1.0
39,0.986018127511,0.0571644129464,1.0,0.814093407705,0.798741335067,1.0
