epoch,categorical_accuracy,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.287259615385,1.56316134563,1.0,0.13125,1.74023940563,1.0
1,0.328867235097,1.49606917488,1.0,0.230283912236,1.55138313921,1.0
2,0.386114494555,1.40388295799,1.0,0.233438485381,1.5010349995,1.0
3,0.475030450997,1.31834472968,1.0,0.378548894771,1.53694918404,1.0
4,0.526187576853,1.22380005747,1.0,0.375394322989,1.51522325191,1.0
5,0.557856273564,1.14313368298,1.0,0.473186117994,1.21392696062,1.0
6,0.60292326482,1.00873346393,1.0,0.403785488489,1.29381051462,1.0
7,0.582216809423,1.03402068358,1.0,0.466876970763,1.21069659232,1.0
8,0.645554202773,0.91694325666,1.0,0.536277600267,1.03695613503,1.0
9,0.641900122383,0.890491385045,1.0,0.555205045438,1.09647548161,1.0
10,0.660170524187,0.856994360068,1.0,0.539432176092,1.08882982648,1.0
11,0.661388550911,0.819447749497,1.0,0.553125,1.07746442556,1.0
12,0.678440925918,0.743059509637,1.0,0.533123028203,1.01470797934,1.0
13,0.680876979802,0.706720389634,1.0,0.545741324733,1.11937544361,1.0
14,0.678440926063,0.766229554376,1.0,0.690851734452,0.875446388022,1.0
15,0.701583435199,0.706250351834,1.0,0.662460567635,0.975061010863,1.0
16,0.761266748231,0.648750300384,1.0,0.71608833052,0.930541205857,1.0
17,0.758830694783,0.64069807602,1.0,0.678233439614,0.965167824778,1.0
18,0.741778319559,0.607666833392,1.0,0.716088327512,0.880868243494,1.0
19,0.771010962532,0.566362097297,1.0,0.735015771931,1.02136082115,1.0
20,0.746650426672,0.590866401919,1.0,0.719242903336,0.873584385926,1.0
21,0.745432399549,0.586828067735,1.0,0.719242903336,0.784978713899,1.0
22,0.757612667914,0.590404315676,1.0,0.740625,0.799805271626,1.0
23,0.779537149962,0.526705048443,1.0,0.690851734452,1.11983162936,1.0
24,0.753958587525,0.557496161539,1.0,0.728706625358,0.800711838793,1.0
25,0.774665042776,0.569169769225,1.0,0.741324921888,0.961863581502,1.0
26,0.764920828694,0.520245343701,1.0,0.763406939499,0.874116231966,1.0
27,0.778846153846,0.546802567748,1.0,0.763406940439,0.728404527301,1.0
28,0.80024360565,0.494045524265,1.0,0.78548895805,0.814945334704,1.0
29,0.762484775101,0.596897724703,1.0,0.738170347755,0.9517245947,1.0
30,0.769792935808,0.560500237887,1.0,0.769716090772,0.922380757821,1.0
31,0.768574909084,0.547647521136,1.0,0.757097790482,0.878549067568,1.0
32,0.779537150325,0.503614052059,1.0,0.760252368375,0.922902742395,1.0
33,0.797807552274,0.4773160694,1.0,0.7875,0.849989885092,1.0
34,0.775883069863,0.529666195652,1.0,0.794952680448,0.924580108856,1.0
35,0.788063337902,0.460963064149,1.0,0.788643535567,0.700494168685,1.0
36,0.803897686112,0.505725862193,1.0,0.741324920196,0.7611009142,1.0
37,0.772228989546,0.539895085411,1.0,0.725552049533,1.00891549429,1.0
38,0.769792935808,0.54765389288,1.0,0.813880128627,0.922833605896,1.0
39,0.771010962822,0.524489837282,1.0,0.791798105939,0.703315141825,1.0
